#,,,,,,"generated_by='OpenQuake engine 3.21.0', start_date='2025-07-24T11:00:29', checksum=780008276, investigation_time=50.0, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[-82.08239683699213, -81.68269718843744, -81.28299753988277, -80.88329789132808, -80.48359824277341, -80.08389859421872, -79.68419894566405, -79.28449929710936, -78.88479964855468, -78.4851, -78.08540035144532, -77.68570070289064, -77.28600105433596, -76.88630140578128, -76.4866017572266, -76.08690210867192, -75.68720246011723, -75.28750281156256, -74.88780316300787], lat_bin_edges=[-3.77258, -3.372882222222222, -2.973184444444444, -2.5734866666666663, -2.1737888888888883, -1.7740911111111104, -1.3743933333333325, -0.9746955555555545, -0.5749977777777766, -0.17529999999999868, 0.22439777777777925, 0.6240955555555572, 1.023793333333335, 1.423491111111113, 1.823188888888891, 2.222886666666669, 2.622584444444447, 3.0222822222222248, 3.4219800000000027], eps_bin_edges=[-6.0, -4.0, -2.0, 0.0, 2.0, 4.0, 6.0], tectonic_region_types=['Active Shallow Crust', 'Subduction Interface', 'Subduction IntraSlab'], lon=-78.4851, lat=-0.1753"
imt,iml,poe,trt,lon,lat,mean
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,-3.75149E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,2.45489E-02,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,4.24247E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,8.23944E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,1.22364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,1.62334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.14828E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-3.17303E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-2.77334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-2.37364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-1.97394E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-1.57424E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-1.17454E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-7.74847E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,-3.75149E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,2.45489E-02,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,4.24247E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,8.23944E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,1.22364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,1.62334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.10831E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-3.17303E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-2.77334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-2.37364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-1.97394E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-1.57424E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-1.17454E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-7.74847E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,-3.75149E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,2.45489E-02,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,4.24247E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,8.23944E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,1.22364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,1.62334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.06834E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-3.17303E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-2.77334E+00,1.50903E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-2.37364E+00,2.20897E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-1.97394E+00,8.02227E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-1.57424E+00,1.67108E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-1.17454E+00,4.23163E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-7.74847E-01,3.57589E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,-3.75149E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,2.45489E-02,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,4.24247E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,8.23944E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,1.22364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,1.62334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-8.02837E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-3.17303E+00,1.08390E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-2.77334E+00,1.74003E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-2.37364E+00,5.58135E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-1.97394E+00,1.72807E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-1.57424E+00,4.42220E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-1.17454E+00,1.72267E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-7.74847E-01,3.27695E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,-3.75149E-01,3.36237E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,2.45489E-02,9.66086E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,4.24247E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,8.23944E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,1.22364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,1.62334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.98840E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-3.17303E+00,5.87840E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-2.77334E+00,2.88635E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-2.37364E+00,7.43535E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-1.97394E+00,5.15052E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-1.57424E+00,1.69489E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-1.17454E+00,9.79504E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-7.74847E-01,2.99280E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,-3.75149E-01,7.01031E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,2.45489E-02,8.15915E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,4.24247E-01,3.28342E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,8.23944E-01,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,1.22364E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,1.62334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.94843E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-3.17303E+00,1.26513E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-2.77334E+00,3.86038E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-2.37364E+00,1.13086E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-1.97394E+00,7.39229E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-1.57424E+00,4.77934E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-1.17454E+00,3.15745E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-7.74847E-01,1.79964E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,-3.75149E-01,7.98156E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,2.45489E-02,1.45682E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,4.24247E-01,1.91750E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,8.23944E-01,2.51262E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,1.22364E+00,1.27236E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,1.62334E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.90846E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-3.17303E+00,1.32140E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-2.77334E+00,3.80932E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-2.37364E+00,1.65243E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-1.97394E+00,1.31360E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-1.57424E+00,1.80427E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-1.17454E+00,5.94745E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-7.74847E-01,7.47074E-05
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,-3.75149E-01,3.09133E-03
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,2.45489E-02,1.04342E-02
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,4.24247E-01,1.22450E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,8.23944E-01,8.34727E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,1.22364E+00,6.82901E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,1.62334E+00,1.04796E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,2.02304E+00,1.21744E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.86849E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-3.17303E+00,9.35881E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-2.77334E+00,2.08517E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-2.37364E+00,1.47325E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-1.97394E+00,5.90470E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-1.57424E+00,4.83674E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-1.17454E+00,1.89013E-05
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-7.74847E-01,1.33924E-04
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,-3.75149E-01,4.03408E-03
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,2.45489E-02,1.50576E-03
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,4.24247E-01,1.14311E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,8.23944E-01,7.46035E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,1.22364E+00,5.50370E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,1.62334E+00,9.71148E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,2.02304E+00,1.29805E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.82853E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-3.17303E+00,3.63211E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-2.77334E+00,1.24992E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-2.37364E+00,6.91465E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-1.97394E+00,2.55519E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-1.57424E+00,1.26470E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-1.17454E+00,1.74727E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-7.74847E-01,2.89476E-05
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,-3.75149E-01,4.06187E-04
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,2.45489E-02,2.33668E-04
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,4.24247E-01,9.63052E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,8.23944E-01,3.63662E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,1.22364E+00,4.32356E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,1.62334E+00,6.52197E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,2.02304E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,2.42274E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,2.82243E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.78856E+01,3.22213E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-3.57273E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-3.17303E+00,2.52451E-11
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-2.77334E+00,1.04715E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-2.37364E+00,5.07662E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-1.97394E+00,1.60650E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-1.57424E+00,6.23542E-09
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-1.17454E+00,3.57239E-08
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-7.74847E-01,3.42974E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,-3.75149E-01,3.11916E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,2.45489E-02,1.79695E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,4.24247E-01,8.44754E-07
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,-7.74859E+01,8.23944E-01,3.27336E-08
