#,,,,"generated_by='OpenQuake engine 3.21.0', start_date='2025-07-24T11:00:29', checksum=780008276, investigation_time=50.0, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[-82.08239683699213, -81.68269718843744, -81.28299753988277, -80.88329789132808, -80.48359824277341, -80.08389859421872, -79.68419894566405, -79.28449929710936, -78.88479964855468, -78.4851, -78.08540035144532, -77.68570070289064, -77.28600105433596, -76.88630140578128, -76.4866017572266, -76.08690210867192, -75.68720246011723, -75.28750281156256, -74.88780316300787], lat_bin_edges=[-3.77258, -3.372882222222222, -2.973184444444444, -2.5734866666666663, -2.1737888888888883, -1.7740911111111104, -1.3743933333333325, -0.9746955555555545, -0.5749977777777766, -0.17529999999999868, 0.22439777777777925, 0.6240955555555572, 1.023793333333335, 1.423491111111113, 1.823188888888891, 2.222886666666669, 2.622584444444447, 3.0222822222222248, 3.4219800000000027], eps_bin_edges=[-6.0, -4.0, -2.0, 0.0, 2.0, 4.0, 6.0], tectonic_region_types=['Active Shallow Crust', 'Subduction Interface', 'Subduction IntraSlab'], lon=-78.4851, lat=-0.1753"
imt,iml,poe,dist,mean
SA(3.53),2.15830E-01,2.00000E-02,2.15000E+02,1.17673E-05
SA(3.53),2.15830E-01,2.00000E-02,2.25000E+02,9.21478E-06
SA(3.53),2.15830E-01,2.00000E-02,2.35000E+02,6.07743E-06
SA(3.53),2.15830E-01,2.00000E-02,2.45000E+02,2.20942E-06
SA(3.53),2.15830E-01,2.00000E-02,2.55000E+02,1.79908E-06
SA(3.53),2.15830E-01,2.00000E-02,2.65000E+02,1.15609E-06
SA(3.53),2.15830E-01,2.00000E-02,2.75000E+02,8.37461E-07
SA(3.53),2.15830E-01,2.00000E-02,2.85000E+02,6.29186E-07
SA(3.53),2.15830E-01,2.00000E-02,2.95000E+02,4.28695E-07
SA(3.53),2.15830E-01,2.00000E-02,3.05000E+02,3.51321E-07
SA(3.53),2.15830E-01,2.00000E-02,3.15000E+02,2.89843E-07
SA(3.53),2.15830E-01,2.00000E-02,3.25000E+02,1.92265E-07
SA(3.53),2.15830E-01,2.00000E-02,3.35000E+02,1.49997E-07
SA(3.53),2.15830E-01,2.00000E-02,3.45000E+02,1.22051E-07
SA(3.53),2.15830E-01,2.00000E-02,3.55000E+02,9.65626E-08
SA(3.53),2.15830E-01,2.00000E-02,3.65000E+02,8.90900E-08
SA(3.53),2.15830E-01,2.00000E-02,3.75000E+02,6.61909E-08
SA(3.53),2.15830E-01,2.00000E-02,3.85000E+02,5.17821E-08
SA(3.53),2.15830E-01,2.00000E-02,3.95000E+02,4.19462E-08
SA(3.53),1.05040E-01,1.00000E-01,5.00000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,1.50000E+01,5.42453E-02
SA(3.53),1.05040E-01,1.00000E-01,2.50000E+01,2.26543E-02
SA(3.53),1.05040E-01,1.00000E-01,3.50000E+01,6.20222E-03
SA(3.53),1.05040E-01,1.00000E-01,4.50000E+01,1.95147E-03
SA(3.53),1.05040E-01,1.00000E-01,5.50000E+01,5.09813E-03
SA(3.53),1.05040E-01,1.00000E-01,6.50000E+01,2.62310E-03
SA(3.53),1.05040E-01,1.00000E-01,7.50000E+01,4.26053E-03
SA(3.53),1.05040E-01,1.00000E-01,8.50000E+01,1.72261E-03
SA(3.53),1.05040E-01,1.00000E-01,9.50000E+01,8.24687E-04
SA(3.53),1.05040E-01,1.00000E-01,1.05000E+02,3.12933E-04
SA(3.53),1.05040E-01,1.00000E-01,1.15000E+02,7.43286E-04
SA(3.53),1.05040E-01,1.00000E-01,1.25000E+02,1.12463E-03
SA(3.53),1.05040E-01,1.00000E-01,1.35000E+02,9.71017E-04
SA(3.53),1.05040E-01,1.00000E-01,1.45000E+02,8.55980E-04
SA(3.53),1.05040E-01,1.00000E-01,1.55000E+02,6.94954E-04
SA(3.53),1.05040E-01,1.00000E-01,1.65000E+02,5.95932E-04
SA(3.53),1.05040E-01,1.00000E-01,1.75000E+02,4.91053E-04
SA(3.53),1.05040E-01,1.00000E-01,1.85000E+02,3.91405E-04
SA(3.53),1.05040E-01,1.00000E-01,1.95000E+02,3.21606E-04
SA(3.53),1.05040E-01,1.00000E-01,2.05000E+02,2.64806E-04
SA(3.53),1.05040E-01,1.00000E-01,2.15000E+02,2.17700E-04
SA(3.53),1.05040E-01,1.00000E-01,2.25000E+02,1.79122E-04
SA(3.53),1.05040E-01,1.00000E-01,2.35000E+02,1.26975E-04
SA(3.53),1.05040E-01,1.00000E-01,2.45000E+02,5.17114E-05
SA(3.53),1.05040E-01,1.00000E-01,2.55000E+02,4.69973E-05
SA(3.53),1.05040E-01,1.00000E-01,2.65000E+02,3.01082E-05
SA(3.53),1.05040E-01,1.00000E-01,2.75000E+02,2.25312E-05
SA(3.53),1.05040E-01,1.00000E-01,2.85000E+02,1.75209E-05
SA(3.53),1.05040E-01,1.00000E-01,2.95000E+02,1.28967E-05
SA(3.53),1.05040E-01,1.00000E-01,3.05000E+02,1.09795E-05
SA(3.53),1.05040E-01,1.00000E-01,3.15000E+02,9.31481E-06
SA(3.53),1.05040E-01,1.00000E-01,3.25000E+02,6.61299E-06
SA(3.53),1.05040E-01,1.00000E-01,3.35000E+02,5.35944E-06
SA(3.53),1.05040E-01,1.00000E-01,3.45000E+02,4.54395E-06
SA(3.53),1.05040E-01,1.00000E-01,3.55000E+02,3.77878E-06
SA(3.53),1.05040E-01,1.00000E-01,3.65000E+02,3.60418E-06
SA(3.53),1.05040E-01,1.00000E-01,3.75000E+02,2.85344E-06
SA(3.53),1.05040E-01,1.00000E-01,3.85000E+02,2.34571E-06
SA(3.53),1.05040E-01,1.00000E-01,3.95000E+02,1.98420E-06
SA(3.53),7.05592E-02,2.00000E-01,5.00000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,1.50000E+01,8.82370E-02
SA(3.53),7.05592E-02,2.00000E-01,2.50000E+01,4.90042E-02
SA(3.53),7.05592E-02,2.00000E-01,3.50000E+01,1.53866E-02
SA(3.53),7.05592E-02,2.00000E-01,4.50000E+01,5.39857E-03
SA(3.53),7.05592E-02,2.00000E-01,5.50000E+01,1.57868E-02
SA(3.53),7.05592E-02,2.00000E-01,6.50000E+01,8.89153E-03
SA(3.53),7.05592E-02,2.00000E-01,7.50000E+01,1.34526E-02
SA(3.53),7.05592E-02,2.00000E-01,8.50000E+01,6.54658E-03
SA(3.53),7.05592E-02,2.00000E-01,9.50000E+01,3.35793E-03
SA(3.53),7.05592E-02,2.00000E-01,1.05000E+02,1.43005E-03
SA(3.53),7.05592E-02,2.00000E-01,1.15000E+02,2.27336E-03
SA(3.53),7.05592E-02,2.00000E-01,1.25000E+02,3.22419E-03
SA(3.53),7.05592E-02,2.00000E-01,1.35000E+02,2.83932E-03
SA(3.53),7.05592E-02,2.00000E-01,1.45000E+02,2.56086E-03
SA(3.53),7.05592E-02,2.00000E-01,1.55000E+02,2.16806E-03
SA(3.53),7.05592E-02,2.00000E-01,1.65000E+02,1.89171E-03
SA(3.53),7.05592E-02,2.00000E-01,1.75000E+02,1.63246E-03
SA(3.53),7.05592E-02,2.00000E-01,1.85000E+02,1.34139E-03
SA(3.53),7.05592E-02,2.00000E-01,1.95000E+02,1.13582E-03
SA(3.53),7.05592E-02,2.00000E-01,2.05000E+02,9.67606E-04
SA(3.53),7.05592E-02,2.00000E-01,2.15000E+02,8.16045E-04
SA(3.53),7.05592E-02,2.00000E-01,2.25000E+02,6.88257E-04
SA(3.53),7.05592E-02,2.00000E-01,2.35000E+02,5.07152E-04
SA(3.53),7.05592E-02,2.00000E-01,2.45000E+02,2.22221E-04
SA(3.53),7.05592E-02,2.00000E-01,2.55000E+02,2.18823E-04
SA(3.53),7.05592E-02,2.00000E-01,2.65000E+02,1.38612E-04
SA(3.53),7.05592E-02,2.00000E-01,2.75000E+02,1.05435E-04
SA(3.53),7.05592E-02,2.00000E-01,2.85000E+02,8.26522E-05
SA(3.53),7.05592E-02,2.00000E-01,2.95000E+02,6.36073E-05
SA(3.53),7.05592E-02,2.00000E-01,3.05000E+02,5.49362E-05
SA(3.53),7.05592E-02,2.00000E-01,3.15000E+02,4.70273E-05
SA(3.53),7.05592E-02,2.00000E-01,3.25000E+02,3.46643E-05
SA(3.53),7.05592E-02,2.00000E-01,3.35000E+02,2.84152E-05
SA(3.53),7.05592E-02,2.00000E-01,3.45000E+02,2.44782E-05
SA(3.53),7.05592E-02,2.00000E-01,3.55000E+02,2.06901E-05
SA(3.53),7.05592E-02,2.00000E-01,3.65000E+02,1.98918E-05
SA(3.53),7.05592E-02,2.00000E-01,3.75000E+02,1.62914E-05
SA(3.53),7.05592E-02,2.00000E-01,3.85000E+02,1.36798E-05
SA(3.53),7.05592E-02,2.00000E-01,3.95000E+02,1.18158E-05
SA(3.53),3.51266E-02,5.00000E-01,5.00000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,1.50000E+01,1.56226E-01
SA(3.53),3.51266E-02,5.00000E-01,2.50000E+01,1.36931E-01
SA(3.53),3.51266E-02,5.00000E-01,3.50000E+01,5.24019E-02
SA(3.53),3.51266E-02,5.00000E-01,4.50000E+01,2.08240E-02
SA(3.53),3.51266E-02,5.00000E-01,5.50000E+01,6.73860E-02
SA(3.53),3.51266E-02,5.00000E-01,6.50000E+01,4.41694E-02
SA(3.53),3.51266E-02,5.00000E-01,7.50000E+01,6.26087E-02
SA(3.53),3.51266E-02,5.00000E-01,8.50000E+01,3.98651E-02
SA(3.53),3.51266E-02,5.00000E-01,9.50000E+01,2.33553E-02
SA(3.53),3.51266E-02,5.00000E-01,1.05000E+02,1.21106E-02
SA(3.53),3.51266E-02,5.00000E-01,1.15000E+02,1.27171E-02
SA(3.53),3.51266E-02,5.00000E-01,1.25000E+02,1.55450E-02
SA(3.53),3.51266E-02,5.00000E-01,1.35000E+02,1.37519E-02
SA(3.53),3.51266E-02,5.00000E-01,1.45000E+02,1.24500E-02
SA(3.53),3.51266E-02,5.00000E-01,1.55000E+02,1.11403E-02
SA(3.53),3.51266E-02,5.00000E-01,1.65000E+02,9.94171E-03
SA(3.53),3.51266E-02,5.00000E-01,1.75000E+02,9.12138E-03
SA(3.53),3.51266E-02,5.00000E-01,1.85000E+02,7.86647E-03
SA(3.53),3.51266E-02,5.00000E-01,1.95000E+02,6.94968E-03
SA(3.53),3.51266E-02,5.00000E-01,2.05000E+02,6.23530E-03
SA(3.53),3.51266E-02,5.00000E-01,2.15000E+02,5.46136E-03
SA(3.53),3.51266E-02,5.00000E-01,2.25000E+02,4.79141E-03
SA(3.53),3.51266E-02,5.00000E-01,2.35000E+02,3.77268E-03
SA(3.53),3.51266E-02,5.00000E-01,2.45000E+02,1.92405E-03
SA(3.53),3.51266E-02,5.00000E-01,2.55000E+02,2.16949E-03
SA(3.53),3.51266E-02,5.00000E-01,2.65000E+02,1.38563E-03
SA(3.53),3.51266E-02,5.00000E-01,2.75000E+02,1.09268E-03
SA(3.53),3.51266E-02,5.00000E-01,2.85000E+02,8.57506E-04
SA(3.53),3.51266E-02,5.00000E-01,2.95000E+02,7.10489E-04
SA(3.53),3.51266E-02,5.00000E-01,3.05000E+02,6.23691E-04
SA(3.53),3.51266E-02,5.00000E-01,3.15000E+02,5.39604E-04
SA(3.53),3.51266E-02,5.00000E-01,3.25000E+02,4.24120E-04
SA(3.53),3.51266E-02,5.00000E-01,3.35000E+02,3.46898E-04
SA(3.53),3.51266E-02,5.00000E-01,3.45000E+02,3.03438E-04
SA(3.53),3.51266E-02,5.00000E-01,3.55000E+02,2.54800E-04
SA(3.53),3.51266E-02,5.00000E-01,3.65000E+02,2.43068E-04
SA(3.53),3.51266E-02,5.00000E-01,3.75000E+02,2.09831E-04
SA(3.53),3.51266E-02,5.00000E-01,3.85000E+02,1.80352E-04
SA(3.53),3.51266E-02,5.00000E-01,3.95000E+02,1.60007E-04
SA(3.53),2.44516E-02,6.87000E-01,5.00000E+00,0.00000E+00
SA(3.53),2.44516E-02,6.87000E-01,1.50000E+01,1.90774E-01
SA(3.53),2.44516E-02,6.87000E-01,2.50000E+01,2.06616E-01
SA(3.53),2.44516E-02,6.87000E-01,3.50000E+01,8.69180E-02
SA(3.53),2.44516E-02,6.87000E-01,4.50000E+01,3.58845E-02
SA(3.53),2.44516E-02,6.87000E-01,5.50000E+01,1.14948E-01
SA(3.53),2.44516E-02,6.87000E-01,6.50000E+01,8.10768E-02
SA(3.53),2.44516E-02,6.87000E-01,7.50000E+01,1.12205E-01
SA(3.53),2.44516E-02,6.87000E-01,8.50000E+01,8.01930E-02
SA(3.53),2.44516E-02,6.87000E-01,9.50000E+01,5.06030E-02
SA(3.53),2.44516E-02,6.87000E-01,1.05000E+02,2.88882E-02
SA(3.53),2.44516E-02,6.87000E-01,1.15000E+02,2.72312E-02
SA(3.53),2.44516E-02,6.87000E-01,1.25000E+02,3.12399E-02
SA(3.53),2.44516E-02,6.87000E-01,1.35000E+02,2.75666E-02
SA(3.53),2.44516E-02,6.87000E-01,1.45000E+02,2.46991E-02
SA(3.53),2.44516E-02,6.87000E-01,1.55000E+02,2.25591E-02
SA(3.53),2.44516E-02,6.87000E-01,1.65000E+02,2.03371E-02
SA(3.53),2.44516E-02,6.87000E-01,1.75000E+02,1.90397E-02
SA(3.53),2.44516E-02,6.87000E-01,1.85000E+02,1.67699E-02
SA(3.53),2.44516E-02,6.87000E-01,1.95000E+02,1.50826E-02
SA(3.53),2.44516E-02,6.87000E-01,2.05000E+02,1.38242E-02
SA(3.53),2.44516E-02,6.87000E-01,2.15000E+02,1.23238E-02
SA(3.53),2.44516E-02,6.87000E-01,2.25000E+02,1.10166E-02
SA(3.53),2.44516E-02,6.87000E-01,2.35000E+02,8.97487E-03
SA(3.53),2.44516E-02,6.87000E-01,2.45000E+02,5.01055E-03
SA(3.53),2.44516E-02,6.87000E-01,2.55000E+02,5.90315E-03
SA(3.53),2.44516E-02,6.87000E-01,2.65000E+02,3.89878E-03
SA(3.53),2.44516E-02,6.87000E-01,2.75000E+02,3.15452E-03
SA(3.53),2.44516E-02,6.87000E-01,2.85000E+02,2.48545E-03
SA(3.53),2.44516E-02,6.87000E-01,2.95000E+02,2.12251E-03
SA(3.53),2.44516E-02,6.87000E-01,3.05000E+02,1.87800E-03
SA(3.53),2.44516E-02,6.87000E-01,3.15000E+02,1.63736E-03
SA(3.53),2.44516E-02,6.87000E-01,3.25000E+02,1.32690E-03
SA(3.53),2.44516E-02,6.87000E-01,3.35000E+02,1.07606E-03
SA(3.53),2.44516E-02,6.87000E-01,3.45000E+02,9.45076E-04
SA(3.53),2.44516E-02,6.87000E-01,3.55000E+02,7.73204E-04
SA(3.53),2.44516E-02,6.87000E-01,3.65000E+02,7.28406E-04
SA(3.53),2.44516E-02,6.87000E-01,3.75000E+02,6.42080E-04
SA(3.53),2.44516E-02,6.87000E-01,3.85000E+02,5.55040E-04
SA(3.53),2.44516E-02,6.87000E-01,3.95000E+02,4.96269E-04
